================================================================
TRACKER: Quant.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/Quant.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,400,000,000
Start Time:           7/15/2026 9:33:24 PM UTC
End Time:             7/25/2026 3:48:02 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant.tkr : 20260725_034802.65 | 8903400000000 flips → heads: 50+2.6e-05% (Z:+0.1634) | a: 50+1.1e-04% (Z:+0.7017) | aHeads: 50+8.5e-05% | aTails: 50+1.4e-04% | aSame: 50+4.3e-04% | aDiff: 50-2.1e-04% | [RATE] H/T: 50+1.4e-04%/ 50+8.5e-05% S/D: 50+4.3e-04%/ 50-2.1e-04% | wallclock: 9.06:11:32 | fps: 11130745 | Z(1.96) in 16:58:23 | Z(3.00) in 1.19:06:55

segments              : 89
Edge Excursion Score  : +0.401426   // median(best TrueZ per segment)
Edge Settlement Score : -0.920284   // mean(end TrueZ per segment)
Edge Persistence Index: -0.383004   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.383116
medianBestTrueZ       : +0.401426
avgEndTrueZ           : -0.920284
medianEndTrueZ        : -0.995049
avgMeanTrueZ          : -0.967614

bestTrueZ >= 1.96     :   4.4944%
bestTrueZ >= 3.00     :   3.3708%
endTrueZ  >= 0.00     :  23.5955%
endTrueZ  >= 1.96     :   1.1236%
meanTrueZ >= 0.00     :  13.4831%

Anticipation Path:
avgMeanA               : 50-2.10422e-05%
avgEndA                : 50-2.23320e-05%
medianEndA             : 50-5.00780e-05%
avgPctAAtLeast50       :  41.6180%
endA >= 50.00          :  40.4494%

Underlying Heads:
avgMeanZHeads          : -0.005895
avgEndZHeads           : -0.008002
medianEndZHeads        : +0.035645
avgPctZHeadsAbove0     :  51.3094%
endZHeads >= 0.00      :  51.6854%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: +0.192722
corrEndZHeadsEndTrueZ  : +0.255668
corrMeanAMeanZHeads    : +0.180743
corrEndAEndZHeads      : +0.268929
corrMeanAMeanTrueZ     : +0.902737
corrEndAEndTrueZ       : +0.856071

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
    aAtTrueZ    : 50+6.63675e-04%
    mean a      : 50+4.62124e-04%
    min a       : 50+2.54776e-04%
    max a       : 50+6.86220e-04%
    end a       : 50+3.74227e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : +0.170251
    mean ZHeads : +0.111822
    min ZHeads  : -0.785744
    max ZHeads  : +0.991121
    end ZHeads  : +0.288014
    pct ZH >= 0 : 62.4000%

Worst settlement segment:
  idx         : 28

  TrueZ:
    bestTrueZ   : -1.907726
    meanTrueZ   : -3.988874
    endTrueZ    : -4.131921

  Anticipation:
    aAtTrueZ    : 50+7.85000e-07%
    mean a      : 50-1.30381e-04%
    min a       : 50-2.32525e-04%
    max a       : 50+7.85000e-07%
    end a       : 50-1.46989e-04%
    pct a >= 50 : 0.2000%

  Heads:
    best ZHeads : -1.912691
    mean ZHeads : -3.164270
    min ZHeads  : -3.878932
    max ZHeads  : -1.828581
    end ZHeads  : -3.202280
    pct ZH >= 0 : 0.0000%

File compute time: 11.20:42:21.8677148
================================================================
TRACKER: v1.1.0.TrackerRecord
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/v1.1.0.TrackerRecord
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          3,127,600,000,000
Start Time:           3/24/2026 11:03:44 PM UTC
End Time:             3/26/2026 12:24:50 PM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

v1.1.0.TrackerRecord : 20260326_122450.24 | 3127600000000 flips → heads: 50+1.2e-04% (Z:+0.7577) | a: 50-1.2e-04% (Z:-0.7874) | aHeads: 50-2.4e-04% | aTails: 50-4.6e-06% | aSame: 50+2.6e-04% | aDiff: 50-5.1e-04% | [RATE] H/T: 50-4.7e-06%/ 50-2.4e-04% S/D: 50+2.6e-04%/ 50-5.1e-04% | wallclock: 1.12:52:54 | fps: 23555701 | Z(1.96) unreachable | Z(3.00) unreachable

segments              : 31
Edge Excursion Score  : +0.775751   // median(best TrueZ per segment)
Edge Settlement Score : -0.739617   // mean(end TrueZ per segment)
Edge Persistence Index: -0.433034   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.717861
medianBestTrueZ       : +0.775751
avgEndTrueZ           : -0.739617
medianEndTrueZ        : -0.535785
avgMeanTrueZ          : -0.735142

bestTrueZ >= 1.96     :   3.2258%
bestTrueZ >= 3.00     :   0.0000%
endTrueZ  >= 0.00     :  25.8065%
endTrueZ  >= 1.96     :   0.0000%
meanTrueZ >= 0.00     :  22.5806%

Anticipation Path:
avgMeanA               : 50+2.78536e-05%
avgEndA                : 50+2.08374e-05%
medianEndA             : 50+3.79990e-05%
avgPctAAtLeast50       :  58.5483%
endA >= 50.00          :  58.0645%

Underlying Heads:
avgMeanZHeads          : -0.203908
avgEndZHeads           : -0.181199
medianEndZHeads        : -0.480489
avgPctZHeadsAbove0     :  37.5098%
endZHeads >= 0.00      :  38.7097%
|endZHeads| >= 1.96    :   0.0000%
corrMeanZHeadsMeanTrueZ: +0.052917
corrEndZHeadsEndTrueZ  : +0.043776
corrMeanAMeanZHeads    : -0.023801
corrEndAEndZHeads      : +0.087634
corrMeanAMeanTrueZ     : +0.883146
corrEndAEndTrueZ       : +0.906320

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
----+-----------------------+-----------+------------------+-----------+-----------+------------------+------------------+-----------+-----------+---------+---------
  0 | 200,000,000..99,800,… | +1.413724 |  50+1.23666e-03% | -0.226950 | -0.498792 |  50+8.05471e-05% |  50+2.66065e-04% | -0.735865 | -1.315119 |  99.399% |   2.004%
  1 | 100,000,000,000..199… | +1.258169 |  50+2.32658e-04% | +0.105721 | +0.102146 |  50+5.25650e-05% |  50+7.48302e-05% | +0.226729 | -0.320203 |  90.400% |  20.200%
  2 | 200,000,000,000..299… | +0.692349 |  50+1.11657e-04% | -2.035052 | -2.035510 |  50-5.83490e-05% |  50-7.16927e-05% | +1.666021 | +1.579939 |  18.400% |  98.800%
  3 | 300,000,000,000..399… | -0.348755 |  50-5.12590e-05% | -2.201780 | -1.595229 |  50-2.72160e-04% |  50-1.36808e-04% | -0.480489 | +0.354512 |   0.000% |  44.200%
  4 | 400,000,000,000..499… | +0.120698 |  50+8.75790e-05% | -0.705017 | -0.985138 |  50+1.68683e-04% |  50-2.78402e-05% | +1.771862 | +0.515412 |  48.600% |  65.600%
  5 | 500,000,000,000..599… | +0.036227 |  50+3.59570e-05% | -0.423486 | -0.995320 |  50+2.10210e-05% |  50+6.23802e-05% | +0.556434 | +1.389847 |  75.800% | 100.000%
  6 | 600,000,000,000..699… | +0.645857 |  50+1.03083e-04% | -2.105501 | -0.499664 |  50-1.86440e-04% |  50-2.80036e-05% | -0.926351 | +0.242832 |  52.600% |  81.000%
  7 | 700,000,000,000..799… | +0.775751 |  50+1.46481e-04% | +0.669555 | -1.253000 |  50+1.13978e-04% |  50-6.72416e-05% | +0.051305 | -0.827505 |  34.200% |   0.400%
  8 | 800,000,000,000..899… | +1.140343 |  50+1.86233e-04% | -0.374104 | +0.047716 |  50-2.27670e-05% |  50+4.76131e-05% | +0.230113 | +0.117886 |  73.200% |  64.000%
  9 | 900,000,000,000..999… | +0.086393 |  50+1.15954e-04% | -1.279495 | -1.115548 |  50-1.33740e-05% |  50-4.65506e-05% | -1.194911 | -0.719638 |  23.400% |  17.600%
 10 | 1,000,000,000,000..1… | -0.185069 |  50+5.52300e-05% | -1.872713 | -1.214416 |  50-1.26679e-04% |  50-6.17095e-05% | -1.071525 | -0.823140 |  19.000% |   1.200%
 11 | 1,100,000,000,000..1… | +0.037663 |  50+1.88590e-05% | -0.071455 | -0.853795 |  50+5.23350e-05% |  50-3.15332e-05% | -0.402450 | -0.647159 |  37.000% |   4.600%
 12 | 1,200,000,000,000..1… | +1.366445 |  50+3.00858e-04% | +1.132709 | -0.208448 |  50+2.74262e-04% |  50+1.44707e-04% | -0.601876 | -1.123656 |  99.200% |   0.000%
 13 | 1,300,000,000,000..1… | +1.268548 |  50+2.36896e-04% | -0.950587 | -0.134313 |  50+9.62430e-05% |  50+9.80851e-05% | -1.559281 | -0.745120 |  97.800% |   5.200%
 14 | 1,400,000,000,000..1… | +1.420995 |  50+2.40695e-04% | -2.517515 | -0.453974 |  50-1.61432e-04% |  50+7.34663e-05% | +1.496529 | +0.372628 |  69.600% |  61.400%
 15 | 1,500,000,000,000..1… | +1.084484 |  50+3.14971e-04% | -0.015761 | -0.382328 |  50+1.88397e-04% |  50+8.51965e-05% | -1.207288 | -0.347585 |  75.400% |  33.400%
 16 | 1,600,000,000,000..1… | +0.760287 |  50+1.22545e-04% | -1.592226 | -0.680676 |  50-1.66112e-04% |  50-1.86970e-05% | -0.541641 | +0.082478 |  30.400% |  55.000%
 17 | 1,700,000,000,000..1… | -1.009013 |  50-5.44470e-05% | -1.009013 | -2.817300 |  50-5.44470e-05% |  50-1.64240e-04% | -0.664660 | -1.778554 |   0.000% |   0.000%
 18 | 1,800,000,000,000..1… | +0.954420 |  50+2.39250e-04% | +0.469744 | -0.515067 |  50+2.03575e-04% |  50+4.33537e-05% | -0.817778 | -0.789259 |  65.400% |   0.000%
 19 | 1,900,000,000,000..1… | +1.297280 |  50+2.90175e-04% | -1.544956 | +0.049535 |  50-1.10050e-04% |  50+1.18196e-04% | -0.848939 | -0.692042 |  78.000% |   4.200%
 20 | 2,000,000,000,000..2… | -0.131703 |  50-6.39300e-06% | -2.112275 | -2.197960 |  50-2.28468e-04% |  50-2.19954e-04% | +0.667316 | +0.715135 |   0.000% |  87.000%
 21 | 2,100,000,000,000..2… | +0.007880 |  50+3.79990e-05% | +0.007880 | -1.374777 |  50+3.79990e-05% |  50-8.85533e-05% | -0.232446 | -0.708423 |  27.600% |  13.800%
 22 | 2,200,000,000,000..2… | +0.770963 |  50+1.60988e-04% | +0.356167 | +0.024679 |  50+1.13018e-04% |  50+1.04323e-04% | -0.358621 | +0.395518 |  93.400% |  62.200%
 23 | 2,300,000,000,000..2… | +0.928135 |  50+1.54661e-04% | -0.535785 | -0.240297 |  50+1.36307e-04% |  50+5.32513e-05% | +1.397866 | +0.403881 |  64.400% |  71.600%
 24 | 2,400,000,000,000..2… | +1.495688 |  50+2.44511e-04% | -0.064004 | +0.013741 |  50+1.84252e-04% |  50+2.01369e-04% | -1.229316 | +0.150138 | 100.000% |  43.000%
 25 | 2,500,000,000,000..2… | +2.985924 |  50+4.87833e-04% | +0.774448 | +1.163297 |  50+2.76761e-04% |  50+3.06664e-04% | +0.975942 | -0.162246 | 100.000% |  48.600%
 26 | 2,600,000,000,000..2… | +1.233674 |  50+2.93490e-04% | -3.420699 | -1.448941 |  50-2.53372e-04% |  50+1.49798e-07% | -1.818234 | -1.122244 |  56.200% |  22.600%
 27 | 2,700,000,000,000..2… | -1.045139 |  50-5.33850e-05% | -1.404013 | -2.506537 |  50-9.73380e-05% |  50-2.46747e-04% | -0.788394 | -0.877189 |   0.000% |   9.400%
 28 | 2,800,000,000,000..2… | +1.758321 |  50+3.30099e-04% | +0.945047 | +0.492806 |  50+2.81455e-04% |  50+1.95212e-04% | -0.835031 | -0.741821 |  86.400% |   0.000%
 29 | 2,900,000,000,000..2… | +1.182787 |  50+2.95732e-04% | -0.217362 | -0.094903 |  50+8.27100e-05% |  50+1.09257e-04% | +0.740466 | -0.044184 |  99.200% |  45.800%
 30 | 3,000,000,000,000..3… | +0.250351 |  50+1.02434e-04% | -0.709647 | -0.581386 |  50+3.28390e-05% |  50+8.89131e-05% | +0.917339 | +1.143722 | 100.000% | 100.000%

Retained Anticipation: 50+9.73329e-05%
Settlement Adjusted Anticipation: 50+1.35747e-04%

Best excursion segment:
  idx         : 25

  TrueZ:
    bestTrueZ   : +2.985924
    meanTrueZ   : +1.163297
    endTrueZ    : +0.774448

  Anticipation:
    aAtTrueZ    : 50+4.87833e-04%
    mean a      : 50+3.06664e-04%
    min a       : 50+1.04150e-04%
    max a       : 50+4.96247e-04%
    end a       : 50+2.76761e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : -0.099403
    mean ZHeads : -0.162246
    min ZHeads  : -1.961339
    max ZHeads  : +1.307804
    end ZHeads  : +0.975942
    pct ZH >= 0 : 48.6000%

Best settlement segment:
  idx         : 12

  TrueZ:
    bestTrueZ   : +1.366445
    meanTrueZ   : -0.208448
    endTrueZ    : +1.132709

  Anticipation:
    aAtTrueZ    : 50+3.00858e-04%
    mean a      : 50+1.44707e-04%
    min a       : 50-1.04920e-05%
    max a       : 50+3.19803e-04%
    end a       : 50+2.74262e-04%
    pct a >= 50 : 99.2000%

  Heads:
    best ZHeads : -0.536348
    mean ZHeads : -1.123656
    min ZHeads  : -2.099948
    max ZHeads  : -0.175778
    end ZHeads  : -0.601876
    pct ZH >= 0 : 0.0000%

Worst settlement segment:
  idx         : 26

  TrueZ:
    bestTrueZ   : +1.233674
    meanTrueZ   : -1.448941
    endTrueZ    : -3.420699

  Anticipation:
    aAtTrueZ    : 50+2.93490e-04%
    mean a      : 50+1.49798e-07%
    min a       : 50-2.99083e-04%
    max a       : 50+3.07748e-04%
    end a       : 50-2.53372e-04%
    pct a >= 50 : 56.2000%

  Heads:
    best ZHeads : +0.622520
    mean ZHeads : -1.122244
    min ZHeads  : -2.786220
    max ZHeads  : +1.172003
    end ZHeads  : -1.818234
    pct ZH >= 0 : 22.6000%

File compute time: 1.12:52:54.6502164
